sample,iou,agree,mae,band_px,band_frac,band_mae,band_agree,band_fg_sd,band_fg_diff,fg_frac_sd,fg_frac_diff
user_1,0.9903463761355461,0.9976918278228322,0.0023218279238790274,42171,0.019929960868825498,0.11649935692548752,0.8841858148964928,0.13300609423537502,0.1967465794029072,0.2373097790128358,0.23858012438798465
user_10,0.9673098510822711,0.9955982103489543,0.004075827542692423,86529,0.00709674784265558,0.5743229389190674,0.3797455188433935,0.748928105028372,0.39117521293439195,0.1337204152494331,0.13118153318426135
user_11,0.9847701708908448,0.9914458430430996,0.006641092244535685,442587,0.018086769021334024,0.36717942357063293,0.527048919195548,0.14543129373433925,0.5207473332926633,0.554000031385103,0.5607882859025963
user_12,0.9902477034727217,0.9977284075281347,0.00229088612832129,358627,0.029413091432560677,0.07788670808076859,0.9227693397318105,0.18291985823710988,0.22718590624799584,0.23114218198853614,0.23244418330603847
user_13,0.9806753121513787,0.9950956993522718,0.005117375403642654,400491,0.03284660218253968,0.155796080827713,0.8506907770711452,0.1673545722625477,0.2648374120766759,0.24973107009007306,0.25293305014907197
user_14,0.9717188991268374,0.9944553422370618,0.0054693520069122314,24596,0.017109070673344464,0.31967559456825256,0.6759229142950073,0.11631972678484306,0.41941779151081476,0.1906900389538119,0.1958757651641625
user_15,0.9702569745614603,0.9954006075802392,0.004052477888762951,2782,0.013923296748394718,0.2910573482513428,0.6696621135873473,0.47807332854061824,0.19086987778576564,0.15433739220956014,0.15033857333753733
user_16,0.9818923627028514,0.9949313052851301,0.005457832012325525,64390,0.03934578091506591,0.13871458172798157,0.8711756483926075,0.16145364186985556,0.26229228141015687,0.27540213477900616,0.27936970979813214
user_17,0.9810655885319509,0.9927366666666667,0.007992508821189404,386637,0.03221975,0.248062402009964,0.774568910890577,0.1983203883746253,0.35950516893106454,0.37737658333333335,0.3825699166666667
user_18,0.9916458836366874,0.9983717876571,0.0016025722725316882,12576,0.0029487900956668544,0.5434677600860596,0.44783715012722647,0.1630884223918575,0.68360368956743,0.1933178578127931,0.1948527480772838
user_19,0.9694223975664479,0.9948638405979676,0.004681574180722237,218380,0.017910617178970353,0.26138657331466675,0.7132338126202034,0.3555545379613518,0.3469548493451781,0.16548022565507683,0.16532619992441422
user_2,0.9969846187485503,0.9987528383468295,0.0015248417621478438,44481,0.027180302545163015,0.05610097944736481,0.9541152402149232,0.19669072188125267,0.22324138396169152,0.4126155809048002,0.41333723593292093
user_20,0.9843999200919598,0.9941784864920356,0.0063916281796991825,43554,0.026613855287696546,0.24016173183918,0.7812600450016072,0.0,0.2187399549983928,0.36735051780734196,0.3731720313153064
user_21,0.9889418105326634,0.9942628119737296,0.006095446180552244,45924,0.028062053777659367,0.21721310913562775,0.7955535232122637,0.2646981970211654,0.24947739743924746,0.5161629950455724,0.5157358681491657
user_22,0.9560765405845466,0.9920419057210287,0.007061630953103304,49502,0.01573626200358073,0.4487488865852356,0.4942830592703325,0.6425800977738273,0.3638034826875682,0.17939535776774088,0.17500845591227213
user_23,0.9719103125647937,0.9894037088546644,0.009623810648918152,32706,0.019985139161486965,0.4815483093261719,0.46979147557023176,0.8594141747691555,0.3376444689047881,0.37714632793079933,0.3667186877488518
user_24,0.9677350198306357,0.9982249270952199,0.0015997912269085646,7566,0.011154652489672437,0.14341922104358673,0.8408670367433254,0.03304255881575469,0.18292360560401796,0.05329199359558414,0.05496386458729555
user_25,0.9754425832936261,0.9984486108120249,0.0015068859793245792,4914,0.011378397715984635,0.1324339359998703,0.8636548636548637,0.022995522995522995,0.13247863247863248,0.06177539126266871,0.06302113362555022
user_26,0.9844971545938854,0.9962531904230475,0.0036016195081174374,170124,0.013733996217992437,0.26224082708358765,0.7271872281394748,0.062301615292374976,0.30903928898920785,0.23811753092256185,0.2415062251999504
user_27,0.9877019531896678,0.9949377099154303,0.005513569340109825,539876,0.027211718242616433,0.2026175558567047,0.8139665404648475,0.3015414650771659,0.42085960479813883,0.40747909445819486,0.4107259460575151
user_28,0.9324102323398263,0.9859320046893317,0.011772654950618744,37162,0.022690748339195,0.5188305974006653,0.38001184005166566,0.8769980087185835,0.297804208600183,0.20767511723329427,0.19453277647518563
user_29,0.9739110732088506,0.9933074289689514,0.00560822943225503,85512,0.019568321616871706,0.28659752011299133,0.6579895219384414,0.43630133782393116,0.22968706146505755,0.25520444310193324,0.25116134849150556
user_3,0.9801682420565047,0.9926979665322919,0.00712859071791172,282611,0.023178576021457967,0.30755069851875305,0.684966261044333,0.596830979685858,0.33929677188786,0.367532622616948,0.3615633464033762
user_30,0.9946720545475624,0.9978523254394531,0.0023058238439261913,16875,0.01609325408935547,0.14327891170978546,0.8665481481481482,0.30417777777777777,0.3957925925925926,0.40128517150878906,0.4027595520019531
user_31,0.9870578117681387,0.9985481592502627,0.0016859557945281267,41154,0.01772443020311127,0.09512048214673996,0.9180881566797882,0.0679885308839967,0.13770228896340575,0.11083518528089308,0.11207082192016814
user_32,0.9859437438603198,0.9922707752322617,0.007004252634942532,68846,0.04206863849788209,0.16649578511714935,0.8162710978125091,0.48014408970746303,0.3628242744676524,0.54848104143192,0.543545556535958
user_33,0.9925282439185642,0.9967435509278337,0.0036314979661256075,16996,0.018004752254566603,0.20169660449028015,0.8191339138620852,0.39168039538714994,0.5611320310661332,0.4326808076078447,0.4357317423273759
user_34,0.9677350198306357,0.9982249270952199,0.0015997912269085646,7566,0.011154652489672437,0.14341922104358673,0.8408670367433254,0.03304255881575469,0.18292360560401796,0.05329199359558414,0.05496386458729555
user_35,0.9880243411174825,0.9977551478107582,0.0024014832451939583,442832,0.018096781196138587,0.1327022761106491,0.8759529573291903,0.1269872095964158,0.17024063301658418,0.18593744687417452,0.18672019461379322
user_36,0.9361507678519072,0.9893194063890989,0.009504185058176517,385196,0.03159217004703116,0.3008400797843933,0.6619227613993914,0.3761513619040696,0.0885782822251529,0.16648057274607375,0.15739551511190897
user_37,0.9901825919255708,0.9985612782921811,0.0015555814607068896,65594,0.005379746420173008,0.28915509581565857,0.7325670030795499,0.45575814861115344,0.5524133304875446,0.14556866824661963,0.14608864861531032
user_38,0.9949257440308558,0.9981170745402649,0.001775646465830505,3341,0.0020844446524105878,0.851855993270874,0.09667764142472314,0.030230469919185873,0.9006285543250524,0.36922558607458705,0.37103988270709526
user_39,0.9771041523138514,0.9951546057048493,0.004620935767889023,40833,0.02045827579918193,0.2258712351322174,0.7631572502632674,0.2802145323635295,0.11498053045330982,0.21089514789199545,0.20751474510951362
user_4,0.9960365342487968,0.9995416005452474,0.0005507909809239209,78456,0.0062351226806640625,0.0883367583155632,0.926481084939329,0.12075558274701743,0.1542520648516366,0.11532258987426758,0.11553144454956055
user_40,0.9647781545174604,0.99170371692058,0.007563968189060688,44345,0.027097199171899327,0.2791420519351959,0.6938324501071147,0.3944074867516067,0.3007103393843725,0.23266500296972348,0.23012607270567473
user_41,0.9902226551964285,0.9971046447753906,0.0029713718686252832,198528,0.015777587890625,0.18832869827747345,0.8164893617021277,0.016118633139909737,0.17449427788523533,0.29343191782633465,0.2959307034810384
user_42,0.9921237663787216,0.9949480833333333,0.0054141501896083355,215761,0.017980083333333334,0.30111926794052124,0.7190270716209138,0.6694212577805998,0.5085812542581838,0.64033275,0.6374408333333333
user_43,0.9735966703799975,0.9922290528233151,0.007306362967938185,76952,0.015928133796986255,0.4587077796459198,0.512124441210105,0.0038595488096475725,0.4851335897702464,0.2865985676436496,0.29426436496108627
user_44,0.9755963402285549,0.9936720742685672,0.006076144054532051,136100,0.012762565641410352,0.4760913848876953,0.5041807494489347,0.2581925055106539,0.2981263776634827,0.25588353338334585,0.256393192048012
user_45,0.9763532956880968,0.9961269366134253,0.0038077442441135645,272633,0.014855234032610866,0.25632351636886597,0.7392795442958116,0.07971522156158646,0.28646568830625785,0.16031652312341058,0.1633878496932542
user_46,0.9772329897577479,0.991593792866941,0.008386179804801941,42297,0.036262860082304525,0.23126083612442017,0.7681868690450859,0.30571908173156487,0.3253658651913847,0.3646682098765432,0.365380658436214
user_47,0.9831628060660613,0.9980608176912741,0.002095564967021346,181260,0.014866189531368102,0.14096187055110931,0.8695575416528744,0.1940472249806907,0.26874655191437713,0.1136476967330142,0.11475819108507601
user_48,0.9925282439185642,0.9967435509278337,0.0036314979661256075,16996,0.018004752254566603,0.20169660449028015,0.8191339138620852,0.39168039538714994,0.5611320310661332,0.4326808076078447,0.4357317423273759
user_49,0.9989588302143283,0.9998898481133434,0.0001257596304640174,17639,0.0012608495319509807,0.09974198788404465,0.912636770791995,0.38205113668575313,0.35693633425931176,0.10575703367331023,0.10572536768642582
user_5,0.9845598025736554,0.9978246469939799,0.002318307990208268,46454,0.028385912511701687,0.0816710963845253,0.9233650492960779,0.06892840229043785,0.09222026090325913,0.1394706803966475,0.14013184105746598
user_50,0.9833807852744488,0.9969888912881787,0.0031373065430670977,2879,0.017268888409030927,0.18167392909526825,0.8256339006599513,0.21674192427926364,0.34109065647794373,0.17860313347249215,0.1807504978526356
user_6,0.995699344327056,0.9975796568627451,0.0028196994680911303,105132,0.028504034357105672,0.09892277419567108,0.9150876992732945,0.22488871133432256,0.2901685500133166,0.5606441415061599,0.5625048802706923
